# Rime table
# coding: utf-8
#@/db_name	cn_en.txt
#@/db_type	tabledb
#
# ------- 中英混輸詞庫 -------
#
# 此行之後不能寫註釋
0尊	miti
KaiKai地	kaikaigd
macOS版本	macosxedm
Option鍵	optioncq
Return鍵	returncq
Server醬	servervw
Switch版	switchxe
智能ABC雙拼	oaipabcoeqj
月刊少年Ace	bmnfhoqace
江南Style	emjjstyle
波特卡斯D艾斯	eehiyytldxktl
Friend子	friendnd
Android版	androidxe
Android端	androidyb
Command鍵	commandcq
Control鍵	controlcq
Eul的神聖法杖	eulxilsgeidk
Switch版本	switchxedm
Windows版	windowsxe
Windows端	windowsyb
同朕check下	brbkcheckmy
我要做Model	zmvokmodel
智能ABC輸入法	oaipabcjnohei
月刊少年Jump	bmnfhoqjump
週刊少年Jump	yrmnfhoqjump
遠東SOGO百貨	yvdwsogomaoc
mobile01	mobilemim
Android版本	androidxedm
CapsLock鍵	capslockcq
Chromium系	chromiumhf
Telegram群	telegramsq
Windows版本	windowsxedm
三無Marblue	mmofmarblue
任天堂Switch	ogmkfgswitch
智能ABC雙拼方案	oaipabcoeqjysjd
唔鍾意咪Quit囉	rrcgyprdquitrg
Backspace鍵	backspacecq
月刊少年Sunday	bmnfhoqsunday
穿著Prada的惡魔	jhtapradaxmpii
臺美21世紀貿易倡議	ggtkmmmptvuhcahoayi
月刊Comic電擊大王	bmncomicmujqkmg
殘廁Gathering	miingathering
月刊少年Magazine	bmnfhoqmagazine
點解阿sir係阿sir	wrnqnrsirofnrsir
少年Jump	fhoqjump
舞乙HiME	oqnuhime
舞HiME	oqhime
aespa	aespa
GIDLE	gidle
ITZY	itzy
NMIXX	nmixx
MEOVV	meovv
ILLIT	illit
NCT	nct
EXO	exo
BTS	bts
TWS	tws
TXT	txt
SHINee	shinee
RIIZE	riize
MISAMO	misamo
ENHYPEN	enhypen
LESSERAFIM	lesserafim
fromis9	fromiskn
ZICO	zico
BOYNEXTDOOR	boynextdoor
ADOR	ador
隨身WiFi	nbhhwifi
加Line	krline
加Whatsapp	krwhatsapp
加IG	krig
加Instagram	krinstagram
加Facebook	krfacebook
加FB	krfb
打call	qncall
city不city	citymfcity
hold住	holdog
AI助手	aibsq
多模態LLM	nidkipllm
寫code	jfcode
k折交叉驗證	kqlykxisoyt
USB手指	usbqqa
LLM模型	llmdkmg
AI模型	aidkmg
High翻	highhm
High翻天	highhmmk
P牌仔	pljod
P牌	plj
AR眼鏡	arbvcu
VR眼鏡	vrbvcu
iPhone手機	iphoneqdi
iOS系統	ioshfvu
Android系統	androidhfvu
iOS開發	iosatne
Android開發	androidatne
iOS應用	iosipbq
Android應用	androidipbq
AI助理	aibsmg
AI工具	aimmbc
AI代理	aiopmg
AI代理人	aiopmgo
AI智能體	aioaipbt
Docker部署	dockerylwa
Python語言	pythonyryr
Python代碼	pythonopmf
Python版本	pythonxedm
3D模型	mmddkmg
3D列印	mmdmnhl
ROC曲線	rocxwve
SGS檢測	sgsdoen
SGS認證	sgsypyt
API接口	apiqvr
修bug	ohbug
修復bug	ohhebug
修正bug	ohmmbug
修補bug	ohlbbug
修理bug	ohmgbug
SD高達	sdyryq
SD鋼彈	sdcunj
HG模型	hgdkmg
MG模型	mgdkmg
PG模型	pgdkmg
RG模型	rgdkmg
PO相	podu
PO相片	poduln
PO圖	poww
PO文	poyk
P圖	pww
多啦A夢	nirtatn
